SingleCopyOG,Name,Product,Pathway,Orthogroup
OG0039516::NA,AGT2,Alanine--glyoxylate aminotransferase 2 homolog 1%2C mitochondrial,"Alanine, aspartate and glutamate metabolism",OG0039516
OG0021209::NA,At3g08860,Alanine--glyoxylate aminotransferase 2 homolog 3%2C mitochondrial,"Alanine, aspartate and glutamate metabolism",OG0021209
OG0000136::H1,BSMT2,S-adenosyl-L-methionine:benzoic acid/salicylic acid carboxyl methyltransferase 2,,OG0000136
OG0000136::H2,BSMT2,S-adenosyl-L-methionine:benzoic acid/salicylic acid carboxyl methyltransferase 2,,OG0000136
OG0000144::H1,AMAT,Methanol O-anthraniloyltransferase,,OG0000144
OG0000144::H2,AMAT,Methanol O-anthraniloyltransferase,,OG0000144
OG0000144::NA,HSR201,Benzyl alcohol O-benzoyltransferase,,OG0000144
OG0000397::H1,OPR11,Putative 12-oxophytodienoate reductase 11,,OG0000397
OG0000908::H1,AIM1,Peroxisomal fatty acid beta-oxidation multifunctional protein AIM1,,OG0000908
OG0000908::H2,AIM1,Peroxisomal fatty acid beta-oxidation multifunctional protein AIM1,,OG0000908
OG0001267::H1,AOS1,Allene oxide synthase 1%2C chloroplastic,,OG0001267
OG0001267::H2,AOS3,Allene oxide synthase 3,,OG0001267
OG0001504::H1,CEQORH,Chloroplast envelope quinone oxidoreductase homolog,,OG0001504
OG0018371::H2,CEQORH,Chloroplast envelope quinone oxidoreductase homolog,,OG0018371
OG0001504::NA,CEQORH,Chloroplast envelope quinone oxidoreductase homolog,,OG0001504
OG0002248::H1,AOC,Allene oxide cyclase%2C chloroplastic,,OG0002248
OG0002248::H2,AOC,Allene oxide cyclase%2C chloroplastic,,OG0002248
OG0003676::H1,DOX2,Alpha-dioxygenase 2,,OG0003676
OG0003861::H2,DAD1,Phospholipase A(1) DAD1%2C chloroplastic,,OG0003861
OG0056664::H2,DAD1,Phospholipase A(1) DAD1%2C chloroplastic,,OG0056664
OG0003861::H1,DAD1,Phospholipase A(1) DAD1%2C chloroplastic,,OG0003861
OG0003917::H2,OPR3,12-oxophytodienoate reductase 3,,OG0003917
OG0033338::H2,ACX1,Peroxisomal acyl-coenzyme A oxidase 1,,OG0033338
OG0003955::H2,ACX1,Peroxisomal acyl-coenzyme A oxidase 1,,OG0003955
OG0003955::H1,ACX1,Peroxisomal acyl-coenzyme A oxidase 1,,OG0003955
OG0005120::H1,ACX3,Acyl-coenzyme A oxidase 3%2C peroxisomal,,OG0005120
OG0021567::H1,ACX3.2,Putative acyl-coenzyme A oxidase 3.2%2C peroxisomal,,OG0021567
OG0005166::H2,CCL5,Probable CoA ligase CCL5,,OG0005166
OG0006489::H1,ACX4,Acyl-coenzyme A oxidase 4%2C peroxisomal,,OG0006489
OG0006489::H2,ACX4,Acyl-coenzyme A oxidase 4%2C peroxisomal,,OG0006489
OG0007524::H1,ACX2,Acyl-coenzyme A oxidase 2%2C peroxisomal,,OG0007524
OG0007524::H2,ACX2,Acyl-coenzyme A oxidase 2%2C peroxisomal,,OG0007524
OG0007945::H2,LCAT4,Lecithin-cholesterol acyltransferase-like 4,,OG0007945
OG0010771::H2,LCAT3,Phospholipase A(1) LCAT3,,OG0010771
OG0014402::H2,ACX1,Peroxisomal acyl-coenzyme A oxidase 1,,OG0014402
OG0025299::H2,ACX1,Peroxisomal acyl-coenzyme A oxidase 1,,OG0025299
OG0024444::H1,DOX2,Alpha-dioxygenase 2,,OG0024444
OG0024444::NA,DOX2,Alpha-dioxygenase 2,,OG0024444
OG0034578::NA,MFP2,Peroxisomal fatty acid beta-oxidation multifunctional protein MFP2,,OG0034578
OG0022540::NA,ACX4,Acyl-coenzyme A oxidase 4%2C peroxisomal,,OG0022540
OG0057417::NA,CEQORH,Chloroplast envelope quinone oxidoreductase homolog,,OG0057417
OG0000177::H1,BXL1,Beta-D-xylosidase 1,Amino sugar and nucleotide sugar metabolism,OG0000177
OG0000177::H2,BXL2,Probable beta-D-xylosidase 2,Amino sugar and nucleotide sugar metabolism,OG0000177
OG0013689::H2,BXL5,Probable beta-D-xylosidase 5,Amino sugar and nucleotide sugar metabolism,OG0013689
OG0000177::NA,BXL6,Probable beta-D-xylosidase 6,Amino sugar and nucleotide sugar metabolism,OG0000177
OG0000272::H1,,Acidic endochitinase,Amino sugar and nucleotide sugar metabolism,OG0000272
OG0025916::H1,CHIB1,Acidic endochitinase,Amino sugar and nucleotide sugar metabolism,OG0025916
OG0000272::NA,CHIB1,Acidic endochitinase,Amino sugar and nucleotide sugar metabolism,OG0000272
OG0000341::H1,CSLD1,Cellulose synthase-like protein D1,Amino sugar and nucleotide sugar metabolism,OG0000341
OG0000341::H2,CSLD2,Cellulose synthase-like protein D2,Amino sugar and nucleotide sugar metabolism,OG0000341
OG0023291::H2,CSLD5,Cellulose synthase-like protein D5,Amino sugar and nucleotide sugar metabolism,OG0023291
OG0034485::H2,CSLD5,Cellulose synthase-like protein D5,Amino sugar and nucleotide sugar metabolism,OG0034485
OG0000341::NA,CSLD3,Cellulose synthase-like protein D3,Amino sugar and nucleotide sugar metabolism,OG0000341
OG0000502::H2,CHIT5,Class V chitinase CHIT5,Amino sugar and nucleotide sugar metabolism,OG0000502
OG0000506::H1,Cht10,Chitinase 10,Amino sugar and nucleotide sugar metabolism,OG0000506
OG0000558::H2,EP3,Endochitinase EP3,Amino sugar and nucleotide sugar metabolism,OG0000558
OG0000558::H1,EP3,Endochitinase EP3,Amino sugar and nucleotide sugar metabolism,OG0000558
OG0000585::H1,GAE1,UDP-glucuronate 4-epimerase 1,Amino sugar and nucleotide sugar metabolism,OG0000585
OG0000585::H2,GAE1,UDP-glucuronate 4-epimerase 1,Amino sugar and nucleotide sugar metabolism,OG0000585
OG0000644::H1,RGP1,UDP-arabinopyranose mutase 1,Amino sugar and nucleotide sugar metabolism,OG0000644
OG0000644::H2,UPTG,Probable UDP-arabinopyranose mutase 1,Amino sugar and nucleotide sugar metabolism,OG0000644
OG0000785::H1,UXS1,UDP-glucuronic acid decarboxylase 1,Amino sugar and nucleotide sugar metabolism,OG0000785
OG0015103::H1,UXS1,UDP-glucuronic acid decarboxylase 1,Amino sugar and nucleotide sugar metabolism,OG0015103
OG0000785::H2,UXS1,UDP-glucuronic acid decarboxylase 1,Amino sugar and nucleotide sugar metabolism,OG0000785
OG0015103::H2,UXS4,UDP-glucuronic acid decarboxylase 4,Amino sugar and nucleotide sugar metabolism,OG0015103
OG0000785::NA,UXS4,UDP-glucuronic acid decarboxylase 4,Amino sugar and nucleotide sugar metabolism,OG0000785
OG0015103::NA,UXS4,UDP-glucuronic acid decarboxylase 4,Amino sugar and nucleotide sugar metabolism,OG0015103
OG0001215::H1,RHM1,Trifunctional UDP-glucose 4%2C6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3%2C5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1,Amino sugar and nucleotide sugar metabolism,OG0001215
OG0001215::H2,RHM1,Trifunctional UDP-glucose 4%2C6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3%2C5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1,Amino sugar and nucleotide sugar metabolism,OG0001215
OG0001472::H1,MUR4,UDP-arabinose 4-epimerase 1,Amino sugar and nucleotide sugar metabolism,OG0001472
OG0001472::H2,MUR4,UDP-arabinose 4-epimerase 1,Amino sugar and nucleotide sugar metabolism,OG0001472
OG0001597::H1,UXS5,UDP-glucuronic acid decarboxylase 5,Amino sugar and nucleotide sugar metabolism,OG0001597
OG0001597::H2,UXS6,UDP-glucuronic acid decarboxylase 6,Amino sugar and nucleotide sugar metabolism,OG0001597
OG0025344::H1,GAUT8,Galacturonosyltransferase 8,Amino sugar and nucleotide sugar metabolism,OG0025344
OG0002141::H1,GAUT8,Galacturonosyltransferase 8,Amino sugar and nucleotide sugar metabolism,OG0002141
OG0002141::H2,GAUT8,Galacturonosyltransferase 8,Amino sugar and nucleotide sugar metabolism,OG0002141
OG0002141::NA,GAUT8,Galacturonosyltransferase 8,Amino sugar and nucleotide sugar metabolism,OG0002141
OG0002167::H1,CYT1,Mannose-1-phosphate guanylyltransferase 1,Amino sugar and nucleotide sugar metabolism,OG0002167
OG0002167::H2,CYT1,Mannose-1-phosphate guanylyltransferase 1,Amino sugar and nucleotide sugar metabolism,OG0002167
OG0002606::H1,CBR1,NADH--cytochrome b5 reductase 1,Amino sugar and nucleotide sugar metabolism,OG0002606
OG0002606::H2,CBR1,NADH--cytochrome b5 reductase 1,Amino sugar and nucleotide sugar metabolism,OG0002606
OG0002761::H1,AXS2,UDP-D-apiose/UDP-D-xylose synthase 2,Amino sugar and nucleotide sugar metabolism,OG0002761
OG0002761::H2,AXS2,UDP-D-apiose/UDP-D-xylose synthase 2,Amino sugar and nucleotide sugar metabolism,OG0002761
OG0002929::H1,ASD1,Alpha-L-arabinofuranosidase 1,Amino sugar and nucleotide sugar metabolism,OG0002929
OG0002929::H2,ASD1,Alpha-L-arabinofuranosidase 1,Amino sugar and nucleotide sugar metabolism,OG0002929
OG0003534::H1,PMI1,Mannose-6-phosphate isomerase 1,Amino sugar and nucleotide sugar metabolism,OG0003534
OG0003534::H2,PMI1,Mannose-6-phosphate isomerase 1,Amino sugar and nucleotide sugar metabolism,OG0003534
OG0003725::H1,At5g28840,GDP-mannose 3%2C5-epimerase,Amino sugar and nucleotide sugar metabolism,OG0003725
OG0003725::H2,At5g28840,GDP-mannose 3%2C5-epimerase,Amino sugar and nucleotide sugar metabolism,OG0003725
OG0004025::H1,GAUT1,Polygalacturonate 4-alpha-galacturonosyltransferase,Amino sugar and nucleotide sugar metabolism,OG0004025
OG0004025::H2,GAUT1,Polygalacturonate 4-alpha-galacturonosyltransferase,Amino sugar and nucleotide sugar metabolism,OG0004025
OG0004132::H2,ARA1,L-arabinokinase,Amino sugar and nucleotide sugar metabolism,OG0004132
OG0004132::H1,ARA1,L-arabinokinase,Amino sugar and nucleotide sugar metabolism,OG0004132
OG0004708::H1,GAL1,Galactokinase,Amino sugar and nucleotide sugar metabolism,OG0004708
OG0004708::H2,GAL1,Galactokinase,Amino sugar and nucleotide sugar metabolism,OG0004708
OG0005152::H1,MUR1,GDP-mannose 4%2C6 dehydratase 2,Amino sugar and nucleotide sugar metabolism,OG0005152
OG0005152::H2,MUR1,GDP-mannose 4%2C6 dehydratase 2,Amino sugar and nucleotide sugar metabolism,OG0005152
OG0005479::H1,UGE1,Bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1,Amino sugar and nucleotide sugar metabolism,OG0005479
OG0005601::H1,NRS/ER,Bifunctional dTDP-4-dehydrorhamnose 3%2C5-epimerase/dTDP-4-dehydrorhamnose reductase,Amino sugar and nucleotide sugar metabolism,OG0005601
OG0005601::H2,NRS/ER,Bifunctional dTDP-4-dehydrorhamnose 3%2C5-epimerase/dTDP-4-dehydrorhamnose reductase,Amino sugar and nucleotide sugar metabolism,OG0005601
OG0005601::NA,NRS/ER,Bifunctional dTDP-4-dehydrorhamnose 3%2C5-epimerase/dTDP-4-dehydrorhamnose reductase,Amino sugar and nucleotide sugar metabolism,OG0005601
OG0005615::H1,SQD1,UDP-sulfoquinovose synthase%2C chloroplastic,Amino sugar and nucleotide sugar metabolism,OG0005615
OG0005615::H2,SQD1,UDP-sulfoquinovose synthase%2C chloroplastic,Amino sugar and nucleotide sugar metabolism,OG0005615
OG0005827::H1,GFAT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Amino sugar and nucleotide sugar metabolism,OG0005827
OG0006225::H1,GAE6,UDP-glucuronate 4-epimerase 6,Amino sugar and nucleotide sugar metabolism,OG0006225
OG0006346::H1,GAUT4,Probable galacturonosyltransferase 4,Amino sugar and nucleotide sugar metabolism,OG0006346
OG0006346::H2,GAUT4,Probable galacturonosyltransferase 4,Amino sugar and nucleotide sugar metabolism,OG0006346
OG0006629::H1,GAUT10,Probable galacturonosyltransferase 10,Amino sugar and nucleotide sugar metabolism,OG0006629
OG0006629::H2,GAUT10,Probable galacturonosyltransferase 10,Amino sugar and nucleotide sugar metabolism,OG0006629
OG0006713::H1,GAUT6,Probable galacturonosyltransferase 6,Amino sugar and nucleotide sugar metabolism,OG0006713
OG0006713::H2,GAUT6,Probable galacturonosyltransferase 6,Amino sugar and nucleotide sugar metabolism,OG0006713
OG0006941::H1,GNA1,Glucosamine 6-phosphate N-acetyltransferase,Amino sugar and nucleotide sugar metabolism,OG0006941
OG0007182::H1,GAUT11,Hexosyltransferase GAUT11,Amino sugar and nucleotide sugar metabolism,OG0007182
OG0007182::H2,GAUT11,Hexosyltransferase GAUT11,Amino sugar and nucleotide sugar metabolism,OG0007182
OG0056553::H2,GAUT11,Hexosyltransferase GAUT11,Amino sugar and nucleotide sugar metabolism,OG0056553
OG0007982::H1,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0007982
OG0007982::H2,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0007982
OG0007997::H1,DRT101,Phosphoacetylglucosamine mutase,Amino sugar and nucleotide sugar metabolism,OG0007997
OG0008302::H1,GLCAK1,Glucuronokinase 1,Amino sugar and nucleotide sugar metabolism,OG0008302
OG0008302::H2,GLCAK1,Glucuronokinase 1,Amino sugar and nucleotide sugar metabolism,OG0008302
OG0008302::NA,GLCAK1,Glucuronokinase 1,Amino sugar and nucleotide sugar metabolism,OG0008302
OG0008454::H1,At5g18200,ADP-glucose phosphorylase,Amino sugar and nucleotide sugar metabolism,OG0008454
OG0008770::H1,GALAK,Galacturonokinase,Amino sugar and nucleotide sugar metabolism,OG0008770
OG0008885::H1,GLCNAC1PUT2,UDP-N-acetylglucosamine diphosphorylase 2,Amino sugar and nucleotide sugar metabolism,OG0008885
OG0008958::H1,CBR2,NADH-cytochrome b5 reductase-like protein,Amino sugar and nucleotide sugar metabolism,OG0008958
OG0008958::H2,CBR2,NADH-cytochrome b5 reductase-like protein,Amino sugar and nucleotide sugar metabolism,OG0008958
OG0009020::H1,GAUT7,Probable galacturonosyltransferase 7,Amino sugar and nucleotide sugar metabolism,OG0009020
OG0009134::H1,GAUT3,Probable galacturonosyltransferase 3,Amino sugar and nucleotide sugar metabolism,OG0009134
OG0009134::H2,GAUT3,Probable galacturonosyltransferase 3,Amino sugar and nucleotide sugar metabolism,OG0009134
OG0009164::H1,GER1,GDP-L-fucose synthase 1,Amino sugar and nucleotide sugar metabolism,OG0009164
OG0010281::H1,FKGP,Bifunctional fucokinase/fucose pyrophosphorylase,Amino sugar and nucleotide sugar metabolism,OG0010281
OG0010281::H2,FKGP,Bifunctional fucokinase/fucose pyrophosphorylase,Amino sugar and nucleotide sugar metabolism,OG0010281
OG0022928::H1,GAUT6,Probable galacturonosyltransferase 6,Amino sugar and nucleotide sugar metabolism,OG0022928
OG0015858::H2,NRS/ER,Bifunctional dTDP-4-dehydrorhamnose 3%2C5-epimerase/dTDP-4-dehydrorhamnose reductase,Amino sugar and nucleotide sugar metabolism,OG0015858
OG0034608::NA,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0034608
OG0057007::NA,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0057007
OG0024689::NA,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0024689
OG0016887::NA,RHM1,Trifunctional UDP-glucose 4%2C6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3%2C5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1,Amino sugar and nucleotide sugar metabolism,OG0016887
OG0035353::NA,GLCAK1,Glucuronokinase 1,Amino sugar and nucleotide sugar metabolism,OG0035353
OG0020814::NA,UXS1,UDP-glucuronic acid decarboxylase 1,Amino sugar and nucleotide sugar metabolism,OG0020814
OG0013689::NA,BXL5,Probable beta-D-xylosidase 5,Amino sugar and nucleotide sugar metabolism,OG0013689
OG0015858::NA,NRS/ER,Bifunctional dTDP-4-dehydrorhamnose 3%2C5-epimerase/dTDP-4-dehydrorhamnose reductase,Amino sugar and nucleotide sugar metabolism,OG0015858
OG0058147::NA,ChiC,Class V chitinase,Amino sugar and nucleotide sugar metabolism,OG0058147
OG0039542::NA,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0039542
OG0029384::NA,RGP5,Probable UDP-arabinopyranose mutase 5,Amino sugar and nucleotide sugar metabolism,OG0029384
OG0015349::NA,ASD1,Alpha-L-arabinofuranosidase 1,Amino sugar and nucleotide sugar metabolism,OG0015349
OG0018908::NA,GAUT11,Hexosyltransferase GAUT11,Amino sugar and nucleotide sugar metabolism,OG0018908
OG0043374::NA,PMI1,Mannose-6-phosphate isomerase 1,Amino sugar and nucleotide sugar metabolism,OG0043374
OG0042862::NA,RHM1,Trifunctional UDP-glucose 4%2C6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3%2C5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1,Amino sugar and nucleotide sugar metabolism,OG0042862
OG0056829::NA,CSLD5,Cellulose synthase-like protein D5,Amino sugar and nucleotide sugar metabolism,OG0056829
OG0057266::NA,GAUT8,Galacturonosyltransferase 8,Amino sugar and nucleotide sugar metabolism,OG0057266
OG0018878::NA,RGP1,UDP-arabinopyranose mutase 1,Amino sugar and nucleotide sugar metabolism,OG0018878
OG0034677::NA,GAUT3,Probable galacturonosyltransferase 3,Amino sugar and nucleotide sugar metabolism,OG0034677
OG0051887::NA,GFAT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Amino sugar and nucleotide sugar metabolism,OG0051887
OG0019202::NA,GAUT6,Probable galacturonosyltransferase 6,Amino sugar and nucleotide sugar metabolism,OG0019202
OG0003390::H1,Os03g0586800,Lysine--tRNA ligase,Aminoacyl,OG0003390
OG0004312::H1,,Serine--tRNA ligase,Aminoacyl,OG0004312
OG0004312::H2,,Serine--tRNA ligase,Aminoacyl,OG0004312
OG0004715::H1,,Glutamine--tRNA ligase,Aminoacyl,OG0004715
OG0004715::H2,,Glutamine--tRNA ligase,Aminoacyl,OG0004715
OG0005566::H2,GATB,Glutamyl-tRNA(Gln) amidotransferase subunit B%2C chloroplastic/mitochondrial,Aminoacyl,OG0005566
OG0007900::H1,POPTRDRAFT_821063,Alanine--tRNA ligase%2C chloroplastic/mitochondrial,Aminoacyl,OG0007900
OG0007900::H2,POPTRDRAFT_821063,Alanine--tRNA ligase%2C chloroplastic/mitochondrial,Aminoacyl,OG0007900
OG0009331::H2,GATC,Glutamyl-tRNA(Gln) amidotransferase subunit C%2C chloroplastic/mitochondrial,Aminoacyl,OG0009331
OG0009331::NA,GATC,Glutamyl-tRNA(Gln) amidotransferase subunit C%2C chloroplastic/mitochondrial,Aminoacyl,OG0009331
OG0010054::H2,fmt,Methionyl-tRNA formyltransferase,Aminoacyl,OG0010054
OG0000247::H1,F3GGT1,Cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1,Anthocyanin biosynthesis,OG0000247
OG0000247::H2,F3GGT1,Cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1,Anthocyanin biosynthesis,OG0000247
OG0000382::H1,UGT75L17,Phloretin 4'-O-glucosyltransferase,Anthocyanin biosynthesis,OG0000382
OG0003800::H1,CBR1,Carbonyl reductase [NADPH] 1,Arachidonic acid metabolism,OG0003800
OG0004306::H1,ptges2,Prostaglandin E synthase 2,Arachidonic acid metabolism,OG0004306
OG0004306::H2,ptges2,Prostaglandin E synthase 2,Arachidonic acid metabolism,OG0004306
OG0008821::H1,LKHA4,Leucine aminopeptidase,Arachidonic acid metabolism,OG0008821
OG0057985::NA,LKHA4,Leucine aminopeptidase,Arachidonic acid metabolism,OG0057985
OG0000116::H1,5MAT,Malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase,Arginine and proline metabolism,OG0000116
OG0000116::H2,3AT1,Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1,Arginine and proline metabolism,OG0000116
OG0000536::H1,GS1-1,Glutamine synthetase cytosolic isozyme 1,Arginine and proline metabolism,OG0000536
OG0000536::H2,GS1-1,Glutamine synthetase cytosolic isozyme 1,Arginine and proline metabolism,OG0000536
OG0000536::NA,GS1-1,Glutamine synthetase cytosolic isozyme 1,Arginine and proline metabolism,OG0000536
OG0000717::H1,P4H12,Probable prolyl 4-hydroxylase 12,Arginine and proline metabolism,OG0000717
OG0000717::H2,P4H4,Probable prolyl 4-hydroxylase 4,Arginine and proline metabolism,OG0000717
OG0001153::H1,GDH1,Glutamate dehydrogenase 1,Arginine and proline metabolism,OG0001153
OG0001153::H2,GDH1,Glutamate dehydrogenase 1,Arginine and proline metabolism,OG0001153
OG0001299::H1,P4H10,Probable prolyl 4-hydroxylase 10,Arginine and proline metabolism,OG0001299
OG0001299::H2,P4H10,Probable prolyl 4-hydroxylase 10,Arginine and proline metabolism,OG0001299
OG0055331::H2,P4H3,Probable prolyl 4-hydroxylase 3,Arginine and proline metabolism,OG0055331
OG0029331::H2,P4H3,Probable prolyl 4-hydroxylase 3,Arginine and proline metabolism,OG0029331
OG0002163::H1,MPAO1,Polyamine oxidase 1,Arginine and proline metabolism,OG0002163
OG0002163::H2,MPAO1,Polyamine oxidase 1,Arginine and proline metabolism,OG0002163
OG0002327::H1,,Delta-1-pyrroline-5-carboxylate synthase,Arginine and proline metabolism,OG0002327
OG0002541::H2,Acy1,Aminoacylase-1,Arginine and proline metabolism,OG0002541
OG0002883::H1,,Aspartate aminotransferase%2C cytoplasmic,Arginine and proline metabolism,OG0002883
OG0003244::H1,P4H9,Probable prolyl 4-hydroxylase 9,Arginine and proline metabolism,OG0003244
OG0003244::H2,P4H9,Probable prolyl 4-hydroxylase 9,Arginine and proline metabolism,OG0003244
OG0004487::H2,POX2,Proline dehydrogenase 2%2C mitochondrial,Arginine and proline metabolism,OG0004487
OG0004512::H1,NAGS2,Probable amino-acid acetyltransferase NAGS2%2C chloroplastic,Arginine and proline metabolism,OG0004512
OG0004512::H2,NAGS2,Probable amino-acid acetyltransferase NAGS2%2C chloroplastic,Arginine and proline metabolism,OG0004512
OG0005103::H1,,NADP-specific glutamate dehydrogenase,Arginine and proline metabolism,OG0005103
OG0005103::H2,,NADP-specific glutamate dehydrogenase,Arginine and proline metabolism,OG0005103
OG0005118::H1,At4g24830,Argininosuccinate synthase%2C chloroplastic,Arginine and proline metabolism,OG0005118
OG0005118::H2,At4g24830,Argininosuccinate synthase%2C chloroplastic,Arginine and proline metabolism,OG0005118
OG0005167::H1,ADC1B,Arginine decarboxylase 1B%2C chloroplastic,Arginine and proline metabolism,OG0005167
OG0005167::H2,ADC1B,Arginine decarboxylase 1B%2C chloroplastic,Arginine and proline metabolism,OG0005167
OG0005675::H1,PAO5,Probable polyamine oxidase 5,Arginine and proline metabolism,OG0005675
OG0005675::H2,PAO5,Probable polyamine oxidase 5,Arginine and proline metabolism,OG0005675
OG0005715::H1,AG118,Acetylornithine aminotransferase%2C mitochondrial,Arginine and proline metabolism,OG0005715
OG0006012::H2,NAGK,Acetylglutamate kinase%2C chloroplastic,Arginine and proline metabolism,OG0006012
OG0006236::H2,AIH,Agmatine deiminase,Arginine and proline metabolism,OG0006236
OG0007037::H2,URE,Urease,Arginine and proline metabolism,OG0007037
OG0007443::H2,RCOM_1202350,Arginine biosynthesis bifunctional protein ArgJ%2C chloroplastic,Arginine and proline metabolism,OG0007443
OG0007797::H1,CEY00_Acc23110,Pyrroline-5-carboxylate reductase,Arginine and proline metabolism,OG0007797
OG0008117::H2,DELTA-OAT,Ornithine aminotransferase%2C mitochondrial,Arginine and proline metabolism,OG0008117
OG0008145::H1,CPA,N-carbamoylputrescine amidase,Arginine and proline metabolism,OG0008145
OG0008145::H2,CPA,N-carbamoylputrescine amidase,Arginine and proline metabolism,OG0008145
OG0008548::H2,At2g19940,Probable N-acetyl-gamma-glutamyl-phosphate reductase%2C chloroplastic,Arginine and proline metabolism,OG0008548
OG0008548::H1,Os03g0617900,Probable N-acetyl-gamma-glutamyl-phosphate reductase%2C chloroplastic,Arginine and proline metabolism,OG0008548
OG0008577::H1,At5g10920,Argininosuccinate lyase%2C chloroplastic,Arginine and proline metabolism,OG0008577
OG0008577::H2,At5g10920,Argininosuccinate lyase%2C chloroplastic,Arginine and proline metabolism,OG0008577
OG0025511::H1,At5g10920,Argininosuccinate lyase%2C chloroplastic,Arginine and proline metabolism,OG0025511
OG0008945::H1,ARGAH1,Arginase 1%2C mitochondrial,Arginine and proline metabolism,OG0008945
OG0009828::H1,At4g17830,Acetylornithine deacetylase,Arginine and proline metabolism,OG0009828
OG0010267::H1,OTC,Ornithine transcarbamylase%2C chloroplastic,Arginine and proline metabolism,OG0010267
OG0010267::H2,ARGF,Ornithine carbamoyltransferase%2C chloroplastic,Arginine and proline metabolism,OG0010267
OG0010485::H1,PIP,Proline iminopeptidase,Arginine and proline metabolism,OG0010485
OG0010485::H2,PIP,Proline iminopeptidase,Arginine and proline metabolism,OG0010485
OG0010833::H1,NOA1,NO-associated protein 1%2C chloroplastic/mitochondrial,Arginine and proline metabolism,OG0010833
OG0032373::NA,GDH1,Glutamate dehydrogenase 1,Arginine and proline metabolism,OG0032373
OG0043355::NA,OTC,Ornithine transcarbamylase%2C chloroplastic,Arginine and proline metabolism,OG0043355
OG0039390::NA,GDH2,Glutamate dehydrogenase 2,Arginine and proline metabolism,OG0039390
OG0043327::NA,P4H10,Probable prolyl 4-hydroxylase 10,Arginine and proline metabolism,OG0043327
OG0029331::NA,P4H3,Probable prolyl 4-hydroxylase 3,Arginine and proline metabolism,OG0029331
OG0000443::H1,APX1,L-ascorbate peroxidase%2C cytosolic,Ascorbate and aldarate metabolism,OG0000443
